airport,pagerank
DOF,7.482815912292994E-4
TWF,7.404731493213531E-4
MBS,7.391243781112223E-4
BMG,7.377519368362011E-4
SJT,7.361472983450474E-4
NGU,7.331374243733192E-4
PTD,7.158897977807954E-4
NUQ,7.059810203330109E-4
MMU,7.022806071486595E-4
FOE,6.993393756629718E-4
IKO,6.916828932811023E-4
APA,6.910155326944434E-4
SGY,6.889612197874184E-4
STC,6.882451460435712E-4
FLG,6.881060333345719E-4
LSE,6.786598085986472E-4
CMI,6.755787920777254E-4
UST,6.733148448675334E-4
ISM,6.72104397208827E-4
CHU,6.665923581735007E-4
UTO,6.621271522041287E-4
PEC,6.584793090646842E-4
EXI,6.584793090646842E-4
SHD,6.580025087958497E-4
ERI,6.577277802491834E-4
SCK,6.542189531924281E-4
GBH,6.435224144390363E-4
09A,6.431874765879235E-4
A1K,6.423386855689216E-4
SUX,6.414344054621038E-4
BFF,6.360341692225739E-4
MLY,6.346122356248354E-4
SVC,6.232313727706299E-4
TEX,6.125616987411524E-4
C01,6.116828362191029E-4
MSL,6.100223352076633E-4
SPS,6.062361135284131E-4
SWO,6.039252353835894E-4
ADK,5.98451104791905E-4
GUC,5.938610377807455E-4
SPI,5.932835259084792E-4
OAJ,5.900383804279374E-4
LAF,5.872949393871423E-4
WSN,5.866932366954408E-4
BIH,5.854904511728603E-4
XWA,5.836460763016136E-4
SRV,5.829294930450111E-4
CEM,5.80620003913556E-4
ROW,5.799133200082389E-4
GLH,5.788649858516021E-4
AZO,5.783272662794534E-4
EAR,5.776769803518215E-4
PML,5.751338061585252E-4
FNL,5.709992657007652E-4
IMT,5.701103173688697E-4
FHB,5.644208474566251E-4
CLP,5.573943669161981E-4
LEB,5.536149126219088E-4
FXE,5.416423436258076E-4
WWA,5.37546706626908E-4
VIK,5.37061722893698E-4
ENN,5.37061722893698E-4
LMA,5.37061722893698E-4
KVC,5.366431179560641E-4
GSB,5.282000073336626E-4
AVW,5.269573352293561E-4
ESC,5.23712242866478E-4
GCK,5.21246958763517E-4
COD,5.205703614697013E-4
NEW,5.18547560451098E-4
CNO,5.172446318950067E-4
GGG,5.146409207429708E-4
ALO,5.136927187885862E-4
